,gbifKey
1247,5617293
1248,7067151
1249,7156381
1250,7237544
1251,7262561
1252,7265151
1253,7271171
1254,7272626
1255,7301998
1256,7307498
1257,7317401
1258,7319137
1259,7329601
1260,7339115
1261,7487340
1262,7534316
1263,7535130
1264,7549085
1265,7552671
1266,7553058
1267,7628399
1268,7760319
1269,7798515
1270,7820371
1271,7820611
1272,7853606
1273,7946025
1274,7983113
1275,7989553
1276,8013265
1277,8032915
1278,8043960
1279,8055544
1280,8057423
1281,8074549
1282,8129556
1283,8172311
1284,8401105
1285,8720061
1286,9110394
1287,9145048
1288,9520814
1289,9531400
1290,9655407
1291,2650676
1292,2650727
1293,2651073
1294,2676334
1295,2677725
1296,2678038
1297,2688839
1298,2689085
1299,2691102
1300,2714156
1301,2726894
1302,2731747
1303,2760726
1304,2781074
1305,2789437
1306,2789471
1307,2795463
1308,2801351
1309,2802191
1310,2811440
1311,2813586
1312,2835955
1313,2891772
1314,2899782
1315,2900009
1316,2908506
1317,2915743
1318,2917192
1319,2919560
1320,2929470
1321,2932913
1322,2967234
1323,2971312
1324,3046735
1325,3061414
1326,3080637
1327,3080806
1328,3154516
1329,3154601
1330,3156645
1331,3171166
1332,3184458
1333,3188002
1334,3594976
1335,3596749
1336,3600609
1337,3623836
1338,3643818
1339,3644374
1340,3644902
1341,3645037
1342,3645069
1343,3658136
1344,3658866
1345,3663023
1346,3679601
1347,3702168
1348,3712108
1349,3743234
1350,3781802
1351,3791758
1352,3823928
1353,3830708
1354,3838515
1355,3839853
1356,3841458
1357,3850713
1358,3892319
1359,3892544
1360,3991055
1361,4003725
1362,4004368
1363,4011587
1364,4025730
1365,4031678
1366,4047699
1367,4070892
1368,4075585
1369,4076540
1370,4096901
1371,4116788
1372,4146270
1373,4182217
1374,4182257
1375,4196867
1376,4272412
1377,4922018
1378,5275177
1379,5305376
1380,5308610
1381,5313862
1382,5322814
1383,5325171
1384,5332352
1385,5336517
1386,5382780
1387,5421024
1388,5564977
1389,5572729
1390,5576443
1391,5589808
1392,5590465
1393,5591695
1394,5651339
1395,5655762
1396,5669267
1397,7069818
1398,7219233
1399,7264756
1400,7321154
1401,7327172
1402,7328704
1403,7333410
1404,7377546
1405,7396469
1406,7500505
1407,7659116
1408,7779359
1409,7833417
1410,7903389
1411,7938975
1412,7964193
1413,8043053
1414,8223786
1415,8322152
1416,8382346
1417,8413514
1418,8713982
1419,9450473
1420,10824109
1421,10925642
1422,11176273
1423,2643093
1424,2653108
1425,2658984
1426,2680446
1427,2680805
1428,2682547
1429,2682901
1430,2684221
1431,2688362
1432,2689024
1433,2689167
1434,2706156
1435,2730711
1436,2731077
1437,2735569
1438,2738629
1439,2758013
1440,2785418
1441,2791450
1442,2797793
1443,2813876
1444,2815221
1445,2815666
1446,2815874
1447,2819193
1448,2843005
1449,2843976
1450,2844238
1451,2845146
1452,2867865
1453,2884950
1454,2898630
1455,2952307
1456,2953747
1457,2953827
1458,2982372
1459,2993058
1460,3038662
1461,3039178
1462,3073711
1463,3075765
1464,3076668
1465,3080695
1466,3149839
1467,3152379
1468,3154355
1469,3155199
1470,3169838
1471,3170126
1472,3181961
1473,3188446
1474,3189870
1475,3570950
1476,3571895
1477,3573230
1478,3576786
1479,3588764
1480,3598449
1481,3608588
1482,3618034
1483,3618307
1484,3662094
1485,3702130
1486,3710232
1487,3714378
1488,3714429
1489,3714482
1490,3716283
1491,3722443
1492,3729903
1493,3744454
1494,3751075
1495,3783371
1496,3783915
1497,3789979
1498,3792148
1499,3860635
1500,3865334
1501,3866572
1502,3871133
1503,3878510
1504,3933235
1505,3943759
1506,3964196
1507,4001395
1508,4031251
1509,4054138
1510,4068357
1511,4069650
1512,4083033
1513,4097307
1514,4130103
1515,4150751
1516,4169954
1517,4172213
1518,4172772
1519,4172939
1520,4181792
1521,4190975
1522,4193233
1523,4259498
1524,4260730
1525,5272029
1526,5301660
1527,5303492
1528,5307605
1529,5316499
1530,5317309
1531,5323808
1532,5327068
1533,5329787
1534,5329814
1535,5332363
1536,5332563
1537,5340285
1538,5340732
1539,5355765
1540,5378580
1541,5381533
1542,5382751
1543,5408655
1544,5419022
1545,5419173
1546,5536031
1547,5548879
1548,5564469
1549,5564992
1550,5571635
1551,5578004
1552,5597593
1553,5600916
1554,5601416
1555,5648501
1556,5656083
1557,5656787
1558,5658024
1559,5668998
1560,5687040
1561,5838288
1562,6069607
1563,6136599
1564,7226242
1565,7290933
1566,7303859
1567,7303890
1568,7311127
1569,7323370
1570,7329850
1571,7344951
1572,7354625
1573,7429544
1574,7470308
1575,7480592
1576,7482204
1577,7646240
1578,7659563
1579,7692707
1580,7774069
1581,7836973
1582,7837200
1583,7848022
1584,7985600
1585,7990277
1586,8023236
1587,8057826
1588,8071025
1589,8153182
1590,8196414
1591,8230490
1592,8317841
1593,8355929
1594,8382595
1595,8390536
1596,8658195
1597,8738697
1598,9190603
1599,9194542
1600,10745369
1601,10775771
1602,11250960
1603,11344857
1604,2650565
1605,2652689
1606,2656228
1607,2656564
1608,2664785
1609,2669837
1610,2678103
1611,2682365
1612,2755580
1613,2757837
1614,2757907
1615,2760080
1616,2760832
1617,2765359
1618,2798781
1619,2802788
1620,2802932
1621,2811642
1622,2817389
1623,2819890
1624,2835912
1625,2835969
1626,2844370
1627,2866418
1628,2875004
1629,2878270
1630,2889934
1631,2899673
1632,2900391
1633,2916105
1634,2942668
1635,2971240
1636,2980396
1637,3021780
1638,3036946
1639,3074410
1640,3074557
1641,3076285
1642,3084968
1643,3152081
1644,3156263
1645,3157668
1646,3172222
1647,3172424
1648,3180249
1649,3183955
1650,3184327
1651,3596682
1652,3600531
1653,3617380
1654,3660153
1655,3663465
1656,3764607
1657,3770622
1658,3784868
1659,3788135
1660,3823641
1661,3837702
1662,3868674
1663,3869162
1664,4011991
1665,4096628
1666,4099893
1667,4144084
1668,4166634
1669,4170501
1670,4179362
1671,4179606
1672,4179963
1673,4257776
1674,5273075
1675,5280373
1676,5282675
1677,5283910
1678,5291084
1679,5294036
1680,5294109
1681,5294163
1682,5301687
1683,5334930
1684,5340948
1685,5349939
1686,5351153
1687,5354475
1688,5380685
1689,5381456
1690,5383392
1691,5396895
1692,5398034
1693,5406263
1694,5414411
1695,5594111
1696,5594539
1697,5597936
1698,5638951
1699,5642320
1700,5644536
1701,5646118
1702,5647712
1703,5681302
1704,5681585
1705,6070363
1706,6077605
1707,6136505
1708,7262787
1709,7263886
1710,7269274
1711,7289405
1712,7311688
1713,7320949
1714,7321884
1715,7630672
1716,7716509
1717,7720336
1718,7809699
1719,7847116
1720,7872852
1721,8075478
1722,8096006
1723,8109171
1724,8111798
