;usageKey;scientificName;canonicalName;rank;status;confidence;note;matchType;kingdom;kingdomKey;synonym;acceptedUsageKey;phylum;order;family;genus;species;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;class;alternatives;idigbio_coreid;idigbio_scientificName;idigbio_taxon_id
1462;3231032;Tylophora R.Br.;Tylophora;GENUS;SYNONYM;97;"Similarity: name=100; authorship=0; kingdom=10; rank=0; status=0; nextMatch=5";EXACT;Plantae;6;True;7588865.0;Tracheophyta;Gentianales;Apocynaceae;Vincetoxicum;;7707728.0;220.0;412.0;6701.0;7588865.0;;Magnoliopsida;"[{'usageKey': 3229189, 'scientificName': 'Tylophora Hick, 1892', 'canonicalName': 'Tylophora', 'rank': 'GENUS', 'status': 'DOUBTFUL', 'confidence': 91, 'note': 'Similarity: name=100; authorship=0; kingdom=0; rank=0; status=-5', 'matchType': 'EXACT', 'kingdom': 'incertae sedis', 'genus': 'Tylophora', 'kingdomKey': 0, 'genusKey': 3229189, 'synonym': False}, {'usageKey': 3246691, 'scientificName': 'Tylophora Dahmer, 1936', 'canonicalName': 'Tylophora', 'rank': 'GENUS', 'status': 'ACCEPTED', 'confidence': 1, 'note': 'Similarity: name=100; authorship=0; kingdom=-100; rank=0; status=1', 'matchType': 'EXACT', 'kingdom': 'Animalia', 'phylum': 'Mollusca', 'order': 'Modiomorphida', 'family': 'Modiomorphidae', 'genus': 'Tylophora', 'kingdomKey': 1, 'phylumKey': 52, 'classKey': 137, 'orderKey': 9463058, 'familyKey': 3247892, 'genusKey': 3246691, 'synonym': False, 'class': 'Bivalvia'}, {'usageKey': 3253835, 'acceptedUsageKey': 2148926, 'scientificName': 'Tylophora Pavesi, 1880', 'canonicalName': 'Tylophora', 'rank': 'GENUS', 'status': 'SYNONYM', 'confidence': 0, 'note': 'Similarity: name=100; authorship=0; kingdom=-100; rank=0; status=0', 'matchType': 'EXACT', 'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'order': 'Araneae', 'family': 'Corinnidae', 'genus': 'Castianeira', 'kingdomKey': 1, 'phylumKey': 54, 'classKey': 367, 'orderKey': 1496, 'familyKey': 3402, 'genusKey': 2148926, 'synonym': True, 'class': 'Arachnida'}, {'usageKey': 7234839, 'scientificName': 'Tylophora Simpson, 1940', 'canonicalName': 'Tylophora', 'rank': 'GENUS', 'status': 'DOUBTFUL', 'confidence': 0, 'note': 'Similarity: name=100; authorship=0; kingdom=-100; rank=0; status=-5', 'matchType': 'EXACT', 'kingdom': 'Animalia', 'phylum': 'Mollusca', 'genus': 'Tylophora', 'kingdomKey': 1, 'phylumKey': 52, 'genusKey': 7234839, 'synonym': False}]";ea6812cf-0017-47cd-9f5f-84074dcfc936;tylophora;104388.0
1463;10997890;Eucalyx stygius (Nees) Verd.;Eucalyx stygius;SPECIES;SYNONYM;100;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=0; singleMatch=5";EXACT;Plantae;6;True;9406555.0;Marchantiophyta;Jungermanniales;Solenostomataceae;Solenostoma;Solenostoma vulcanicola;9.0;126.0;381.0;6128.0;8123202.0;9406555.0;Jungermanniopsida;;fb826738-00ea-4851-8150-5a0f383aad37;eucalyx stygius;211854.0
1464;10997890;Eucalyx stygius (Nees) Verd.;Eucalyx stygius;SPECIES;SYNONYM;100;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=0; singleMatch=5";EXACT;Plantae;6;True;9406555.0;Marchantiophyta;Jungermanniales;Solenostomataceae;Solenostoma;Solenostoma vulcanicola;9.0;126.0;381.0;6128.0;8123202.0;9406555.0;Jungermanniopsida;;10739601-a010-4069-9a0e-b15524eb7c8b;eucalyx stygius;211854.0
1465;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;"[{'usageKey': 7376622, 'acceptedUsageKey': 7816363, 'scientificName': 'Calobryum blumii (Nees) Gottsche, Lindenb. & Nees', 'canonicalName': 'Calobryum blumii', 'rank': 'SPECIES', 'status': 'SYNONYM', 'confidence': 5, 'note': 'Similarity: name=-10; authorship=0; kingdom=10; rank=0; status=0; singleMatch=5', 'matchType': 'FUZZY', 'kingdom': 'Plantae', 'phylum': 'Marchantiophyta', 'order': 'Calobryales', 'family': 'Haplomitriaceae', 'genus': 'Haplomitrium', 'species': 'Haplomitrium blumei', 'kingdomKey': 6, 'phylumKey': 9, 'classKey': 127, 'orderKey': 1504, 'familyKey': 6147, 'genusKey': 2689551, 'speciesKey': 7816363, 'synonym': True, 'class': 'Haplomitriopsida'}, {'usageKey': 11387779, 'scientificName': 'Plantae', 'canonicalName': 'Plantae', 'rank': 'GENUS', 'status': 'DOUBTFUL', 'confidence': 29, 'note': 'Similarity: name=100; classification=4; rank=-70; status=-5', 'matchType': 'EXACT', 'kingdom': 'Plantae', 'genus': 'Plantae', 'kingdomKey': 6, 'genusKey': 11387779, 'synonym': False}]";cee9dfa6-dbb2-4b86-961e-2f074c921807;calobryum blumei;211344.0
1466;7604875;Merceya sulfatarae M.Fleisch.;Merceya sulfatarae;SPECIES;DOUBTFUL;99;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=-5; singleMatch=5";EXACT;Plantae;6;False;;Bryophyta;Pottiales;Pottiaceae;Merceya;Merceya sulfatarae;35.0;327.0;621.0;4671.0;2671431.0;7604875.0;Bryopsida;;18b355bf-f259-4953-ba06-41a01ca30f6d;merceya sulfatarae;259654.0
1467;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;f959d44d-fcb7-4c0a-8a55-c32d0dd9bf22;humata heterophylla (sm.) desv.;50042742.0
1468;4024892;Microsorum papuanum (Baker) Parris;Microsorum papuanum;SPECIES;ACCEPTED;100;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=1; singleMatch=5";EXACT;Plantae;6;False;;Tracheophyta;Polypodiales;Polypodiaceae;Microsorum;Microsorum papuanum;7707728.0;7228684.0;392.0;2368.0;2650529.0;4024892.0;Polypodiopsida;;7cbc4fac-1040-43f9-83f1-46150efc81ec;microsorum papuanum;366293.0
1469;5275398;Pteris vittata L.;Pteris vittata;SPECIES;ACCEPTED;99;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=1; nextMatch=0";EXACT;Plantae;6;False;;Tracheophyta;Polypodiales;Pteridaceae;Pteris;Pteris vittata;7707728.0;7228684.0;392.0;2367.0;2651676.0;5275398.0;Polypodiopsida;"[{'usageKey': 7495868, 'acceptedUsageKey': 5275402, 'scientificName': 'Pteris vittata Schkuhr', 'canonicalName': 'Pteris vittata', 'rank': 'SPECIES', 'status': 'SYNONYM', 'confidence': 99, 'note': 'Similarity: name=110; authorship=0; kingdom=10; rank=0; status=0', 'matchType': 'EXACT', 'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'order': 'Polypodiales', 'family': 'Pteridaceae', 'genus': 'Pteris', 'species': 'Pteris grandifolia', 'kingdomKey': 6, 'phylumKey': 7707728, 'classKey': 7228684, 'orderKey': 392, 'familyKey': 2367, 'genusKey': 2651676, 'speciesKey': 5275402, 'synonym': True, 'class': 'Polypodiopsida'}]";8bf5dcb2-40fa-4888-ad9f-b2e5eb45abe7;pteris vittata;97304.0
1470;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;399635f3-cdb8-4f19-b7b7-5bb194d135fe;humata vestita (blume) t. moore;26623605.0
1471;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;475c0562-cbb6-42c2-9313-0817a4bc1910;sporobolus r. br.;40003985.0
1472;2651193;Tectaria Cav.;Tectaria;GENUS;ACCEPTED;98;"Similarity: name=100; authorship=0; kingdom=10; rank=0; status=1; nextMatch=5";EXACT;Plantae;6;False;;Tracheophyta;Polypodiales;Tectariaceae;Tectaria;;7707728.0;7228684.0;392.0;3229460.0;2651193.0;;Polypodiopsida;"[{'usageKey': 3244615, 'acceptedUsageKey': 2301191, 'scientificName': 'Tectaria Guérin-Méneville, 1829-43', 'canonicalName': 'Tectaria', 'rank': 'GENUS', 'status': 'SYNONYM', 'confidence': 0, 'note': 'Similarity: name=100; authorship=0; kingdom=-100; rank=0; status=0', 'matchType': 'EXACT', 'kingdom': 'Animalia', 'phylum': 'Mollusca', 'order': 'Littorinimorpha', 'family': 'Littorinidae', 'genus': 'Tectarius', 'kingdomKey': 1, 'phylumKey': 52, 'classKey': 225, 'orderKey': 7390893, 'familyKey': 2668, 'genusKey': 2301191, 'synonym': True, 'class': 'Gastropoda'}]";97e8055d-294b-420e-a167-3e24177526c4;tectaria;45433.0
1473;9765658;Trigonospora tenera (Roxb.) Mazumdar;Trigonospora tenera;SPECIES;ACCEPTED;100;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=1; singleMatch=5";EXACT;Plantae;6;False;;Tracheophyta;Polypodiales;Thelypteridaceae;Trigonospora;Trigonospora tenera;7707728.0;7228684.0;392.0;6618.0;8404779.0;9765658.0;Polypodiopsida;;69a2838d-c279-49af-8ce8-073998e43b5c;trigonospora tenera;340995.0
1474;4132778;Panicum notatum Retz.;Panicum notatum;SPECIES;ACCEPTED;100;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=1; singleMatch=5";EXACT;Plantae;6;False;;Tracheophyta;Poales;Poaceae;Panicum;Panicum notatum;7707728.0;196.0;1369.0;3073.0;2705064.0;4132778.0;Liliopsida;;09a8bf62-2375-4bc2-a8e9-e1d2136a798b;panicum notatum;189942.0
1475;7399230;Schistochila aligera (Nees & Blume) J.B.Jack & Steph.;Schistochila aligera;SPECIES;ACCEPTED;100;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=1; singleMatch=5";EXACT;Plantae;6;False;;Marchantiophyta;Jungermanniales;Schistochilaceae;Schistochila;Schistochila aligera;9.0;126.0;381.0;2276.0;2689001.0;7399230.0;Jungermanniopsida;;04dc37d7-9555-46c5-85f3-ed23d936c83f;schistochila aligera;193732.0
1476;3659120;Japanobotrychum lanuginosum (Wall. ex Hook. & Grev.) M.Nishida ex Tagawa;Japanobotrychum lanuginosum;SPECIES;ACCEPTED;99;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=1; nextMatch=0";EXACT;Plantae;6;False;;Tracheophyta;Ophioglossales;Ophioglossaceae;Japanobotrychum;Japanobotrychum lanuginosum;7707728.0;7228684.0;393.0;6627.0;7321405.0;3659120.0;Polypodiopsida;"[{'usageKey': 8525448, 'acceptedUsageKey': 3659120, 'scientificName': 'Japanobotrychum lanuginosum (Wall. ex Hook. & Grev.) M.Nishida', 'canonicalName': 'Japanobotrychum lanuginosum', 'rank': 'SPECIES', 'status': 'SYNONYM', 'confidence': 99, 'note': 'Similarity: name=110; authorship=0; kingdom=10; rank=0; status=0', 'matchType': 'EXACT', 'kingdom': 'Plantae', 'phylum': 'Tracheophyta', 'order': 'Ophioglossales', 'family': 'Ophioglossaceae', 'genus': 'Japanobotrychum', 'species': 'Japanobotrychum lanuginosum', 'kingdomKey': 6, 'phylumKey': 7707728, 'classKey': 7228684, 'orderKey': 393, 'familyKey': 6627, 'genusKey': 7321405, 'speciesKey': 3659120, 'synonym': True, 'class': 'Polypodiopsida'}]";321e13f5-e42c-47c7-b88e-4f4da862f603;japanobotrychum lanuginosum;317368.0
1477;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;fbb99a60-9493-43ee-bf2d-5c5693d14243;goniophlebium (blume) c. presl;40016236.0
