;usageKey;acceptedUsageKey;scientificName;canonicalName;rank;status;confidence;matchType;kingdom;phylum;order;family;genus;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;synonym;class;species;speciesKey;note
1152;5341267;;Cordia subcordata Lam.;Cordia subcordata;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Boraginales;Cordiaceae;Cordia;6;7707728.0;220.0;7226464.0;4930453.0;2900865.0;False;Magnoliopsida;Cordia subcordata;5341267.0;
1153;2766278;;Cordyline fruticosa (L.) A.Chev.;Cordyline fruticosa;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Asparagales;Asparagaceae;Cordyline;6;7707728.0;196.0;1169.0;7683.0;2766216.0;False;Liliopsida;Cordyline fruticosa;2766278.0;
1154;3034871;;Coriandrum sativum L.;Coriandrum sativum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Apiales;Apiaceae;Coriandrum;6;7707728.0;220.0;1351.0;6720.0;3034870.0;False;Magnoliopsida;Coriandrum sativum;3034871.0;
1155;7700469;2752152.0;Corona Fisch. ex Graham;Corona;GENUS;SYNONYM;96;HIGHERRANK;Plantae;Tracheophyta;Liliales;Liliaceae;Fritillaria;6;7707728.0;196.0;1172.0;7699.0;2752152.0;True;Liliopsida;;;
1156;7700469;2752152.0;Corona Fisch. ex Graham;Corona;GENUS;SYNONYM;96;HIGHERRANK;Plantae;Tracheophyta;Liliales;Liliaceae;Fritillaria;6;7707728.0;196.0;1172.0;7699.0;2752152.0;True;Liliopsida;;;
1157;2909155;;Corynanthe johimbe K.Schum.;Corynanthe johimbe;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Gentianales;Rubiaceae;Corynanthe;6;7707728.0;220.0;412.0;8798.0;2901469.0;False;Magnoliopsida;Corynanthe johimbe;2909155.0;
1158;5293452;5293447.0;Corypha elata Roxb.;Corypha elata;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Arecales;Arecaceae;Corypha;6;7707728.0;196.0;552.0;7681.0;2733599.0;True;Liliopsida;Corypha utan;5293447.0;
1159;5293787;2736413.0;Corypha licuala Lam.;Corypha licuala;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Arecales;Arecaceae;Licuala;6;7707728.0;196.0;552.0;7681.0;7830622.0;True;Liliopsida;Licuala rumphii;2736413.0;
1160;5293361;2733431.0;Corypha rotundifolia Lam.;Corypha rotundifolia;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Arecales;Arecaceae;Saribus;6;7707728.0;196.0;552.0;7681.0;8290985.0;True;Liliopsida;Saribus rotundifolius;2733431.0;
1161;5592756;;Coscinium blumeanum Miers;Coscinium blumeanum;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Ranunculales;Menispermaceae;Coscinium;6;7707728.0;220.0;399.0;2411.0;3234311.0;False;Magnoliopsida;Coscinium blumeanum;5592756.0;
1162;5592750;;Coscinium fenestratum (Gaertn.) Colebr.;Coscinium fenestratum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Ranunculales;Menispermaceae;Coscinium;6;7707728.0;220.0;399.0;2411.0;3234311.0;False;Magnoliopsida;Coscinium fenestratum;5592750.0;
1163;3101343;3098947.0;Cosmos calvus (Sch.Bip.) Sherff;Cosmos calvus;SPECIES;SYNONYM;96;FUZZY;Plantae;Tracheophyta;Asterales;Asteraceae;Cosmos;6;7707728.0;220.0;414.0;3065.0;3098910.0;True;Magnoliopsida;Cosmos steenisiae;3098947.0;
1164;3098932;;Cosmos caudatus Kunth;Cosmos caudatus;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asterales;Asteraceae;Cosmos;6;7707728.0;220.0;414.0;3065.0;3098910.0;False;Magnoliopsida;Cosmos caudatus;3098932.0;
1165;2756814;;Costus lucanusianus J.Braun & K.Schum.;Costus lucanusianus;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Zingiberales;Costaceae;Costus;6;7707728.0;196.0;627.0;4492.0;2756771.0;False;Liliopsida;Costus lucanusianus;2756814.0;
1166;2756919;;Costus malortieanus H.Wendl.;Costus malortieanus;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Zingiberales;Costaceae;Costus;6;7707728.0;196.0;627.0;4492.0;2756771.0;False;Liliopsida;Costus malortieanus;2756919.0;
1167;2756724;7584507.0;Costus speciosus (J.Koenig) Sm.;Costus speciosus;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Zingiberales;Costaceae;Hellenia;6;7707728.0;196.0;627.0;4492.0;8189889.0;True;Liliopsida;Hellenia speciosa;7584507.0;
1168;3082562;;Couroupita guianensis Aubl.;Couroupita guianensis;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Ericales;Lecythidaceae;Couroupita;6;7707728.0;220.0;1353.0;3990.0;3082553.0;False;Magnoliopsida;Couroupita guianensis;3082562.0;
