;usageKey;acceptedUsageKey;scientificName;canonicalName;rank;status;confidence;matchType;kingdom;phylum;order;family;genus;species;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;synonym;class;note
826;2928524;;Ipomoea pes-tigridis L.;Ipomoea pes-tigridis;SPECIES;ACCEPTED;100;FUZZY;Plantae;Tracheophyta;Solanales;Convolvulaceae;Ipomoea;Ipomoea pes-tigridis;6;7707728.0;220.0;1176.0;2389.0;2928509.0;2928524.0;False;Magnoliopsida;
827;4143195;;Ischaemum muticum L.;Ischaemum muticum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Poales;Poaceae;Ischaemum;Ischaemum muticum;6;7707728.0;196.0;1369.0;3073.0;2702456.0;4143195.0;False;Liliopsida;
828;4259170;;Ixonanthes icosandra Jack;Ixonanthes icosandra;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malpighiales;Ixonanthaceae;Ixonanthes;Ixonanthes icosandra;6;7707728.0;220.0;1414.0;4259125.0;7310993.0;4259170.0;False;Magnoliopsida;
829;3770188;;Justicia carnea Lindl.;Justicia carnea;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Lamiales;Acanthaceae;Justicia;Justicia carnea;6;7707728.0;220.0;408.0;2393.0;2904597.0;3770188.0;False;Magnoliopsida;
830;7656043;3780574.0;Justicia sumatrana (Miq.) Kurz;Justicia sumatrana;SPECIES;SYNONYM;99;FUZZY;Plantae;Tracheophyta;Lamiales;Acanthaceae;Justicia;Justicia sumatrana;6;7707728.0;220.0;408.0;2393.0;2904597.0;3780574.0;True;Magnoliopsida;
831;5301462;;Kaempferia angustifolia Roscoe;Kaempferia angustifolia;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Zingiberales;Zingiberaceae;Kaempferia;Kaempferia angustifolia;6;7707728.0;196.0;627.0;4687.0;2756998.0;5301462.0;False;Liliopsida;
832;5301462;;Kaempferia angustifolia Roscoe;Kaempferia angustifolia;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Zingiberales;Zingiberaceae;Kaempferia;Kaempferia angustifolia;6;7707728.0;196.0;627.0;4687.0;2756998.0;5301462.0;False;Liliopsida;
833;2985936;;Kalanchoe daigremontiana Raym.-Hamet & Perrier;Kalanchoe daigremontiana;SPECIES;ACCEPTED;88;EXACT;Plantae;Tracheophyta;Saxifragales;Crassulaceae;Kalanchoe;Kalanchoe daigremontiana;6;7707728.0;220.0;7219248.0;2406.0;2985928.0;2985936.0;False;Magnoliopsida;
834;2985939;7334370.0;Kalanchoe integra (Medik.) Kuntze;Kalanchoe integra;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Saxifragales;Crassulaceae;Kalanchoe;Kalanchoe deficiens;6;7707728.0;220.0;7219248.0;2406.0;2985928.0;7334370.0;True;Magnoliopsida;
835;2985930;;Kalanchoe pinnata (Lam.) Pers.;Kalanchoe pinnata;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Saxifragales;Crassulaceae;Kalanchoe;Kalanchoe pinnata;6;7707728.0;220.0;7219248.0;2406.0;2985928.0;2985930.0;False;Magnoliopsida;
836;8314044;7330960.0;Labisia pumila (Blume) Mez;Labisia pumila;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Ericales;Primulaceae;Labisia;Labisia pumila;6;7707728.0;220.0;1353.0;6674.0;7330947.0;7330960.0;True;Magnoliopsida;
837;5336877;;Lasianthus tomentosus Blume;Lasianthus tomentosus;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Gentianales;Rubiaceae;Lasianthus;Lasianthus tomentosus;6;7707728.0;220.0;412.0;8798.0;2902349.0;5336877.0;False;Magnoliopsida;
838;4160417;;Leea guineensis G.Don;Leea guineensis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Vitales;Vitaceae;Leea;Leea guineensis;6;7707728.0;220.0;7222050.0;6672.0;7303645.0;4160417.0;False;Magnoliopsida;
