;Plant
655;Schizostachyum zollingeri Steud.
656;Selaginella plana (Desv. Ex Poir.) Hieron.
657;Sesbania sesban (L.) Merr.
658;Setaria barbata (Lam.) Kunth
659;Smilax leucophylla Blume
660;Solanum ferox L.
661;Sonchus arvensis L.
662;Spermacoce alata Aubl.
663;Stephania japonica (Thunb.) Miers
664;Streblus asper Lour.
665;Tabernaemontana arborea Rose ex J.D.Sm.
666;Tabernaemontana divaricata (L.)
667;Tacca leontopetaloides (L.) Kuntze
668;Tagetes erecta L.
669;Thespesia populnea (L.) Sol. ex Corrêa
670;Timonius flavescens (Jacq.) Baker
671;Triphasia trifolia (Burm. f.) P. Wilson
672;Vernonia cinerea (L.) Less.
673;Wrightia pubescens R.Br.
674;Abelmoschus esculentus (L.) Moench
675;Acacia leucophloea (Roxb.) Willd.
676;Acalypha hispida Burm.f.
677;Acrostichum speciosum (Fée) C. Presl
678;Adina fagifolia (Teijsm. & Binn. ex Havil.)
679;Agathis borneensis Warb.
680;Ageratum houstonianum Mill.
681;Albizia chinensis (Osbeck) Merr.
682;Aleurites trilobus J.R.Forst.
683;Allium ascalonicum L.
684;Alocasia macrorrhizos (L.) G.Don
685;Alocasia macrorrhizos (L.) G.Don
686;Alpinia nutans (L.) Roscoe
687;Alternanthera paronychioides A.St.Hil.
688;Amaranthus blitum L.
689;Amorphophallus paeoniifolius (Dennst.)
690;Ampelocissus compositifolia (M.A.Lawson)
691;Amphineuron terminans (J. Sm.) Holttum
692;Anamirta cocculus (L.) Wight & Arn.
693;Antidesma bunius (L.) Spreng.
694;Aralidium pinnatifidum (Jungh. & de Vriese)
695;Archidendron jiringa (Jack) I.C.Nielsen
696;Archidendron pauciflorum (Benth.)
697;Ardisia elliptica Thunb.
698;Argostemma brachyantherum Stapf
699;Artocarpus communis Forst.
700;Artocarpus griffithi (King)
701;Athyrium esculentum (Retz.) Copel.
702;Atuna racemosa Raf.
703;Baccaurea racemosa (Reinw. ex Blume)
704;Barleria cristata L.
705;Bauhinia acuminata L.
706;Bauhinia tomentosa L.
707;Begonia fimbristipula Hance
708;Begonia isoptera Dryand. ex Sm.
709;Belamcanda chinensis (L.) DC.
710;Bixa orellana L.
711;Borreria hispida Spruce ex K.Schum
712;Bouea macrophylla Griff.
713;Bougainvillea spectabilis Willd.
714;Breynia cernua (Poir.) Müll.Arg.
715;Breynia racemosa (Blume) Müll.Arg.
716;Bromus tectorum L.
717;Brugmansia suaveolens Bercht. & J.Presl
718;Bruguiera conjugata (L.) Merr.
719;Butea monosperma (Lam.) Taub.
720;Caesalpinia globulorum Bakh.f. & P.Royen
721;Calamus manan Miq.
722;Calamus ornatus Blume
723;Calathea marantifolia Standl.
724;Callicarpa candicans (Burm.f.) Hochr.
725;Callicarpa formosana Rolfe
726;Calophyllum soualattri Burm.f.
727;Canavalia ensiformis (L.) DC.
728;Carallia brachiata (Lour.) Merr.
729;Carallia suffruticosa Ridl.
730;Carthamus tinctorius L.
731;Cassia obtusifolia L.
732;Cassia siamea Lam.
733;Casuarina junghuhniana Miq.
734;Cayratia japonica (Thunb.) Gagnep.
735;Ceriops tagal (Perr.) C.B.Rob.
736;Chloranthus elatior Link
737;Chloranthus spicatus (Thunb.) Makino
738;Cibotium barometz (L.) J. Sm.
739;Cinnamomum verum J.Presl
740;Cipadessa baccifera (Roth) Miq.
741;Citrus × limon (L.) Osbeck
742;Citrus x jambhiri Lush.
743;Clausena lansium (Lour.) Skeels
744;Cleome gynandra L.
745;Clibadium surinamense L.
